Date, NAVPS 
15-Sep-17, 1.3585 
18-Sep-17, 1.3756 
19-Sep-17, 1.3356 
20-Sep-17, 1.3649 
21-Sep-17, 1.3722 
22-Sep-17, 1.3700 
25-Sep-17, 1.3634 
26-Sep-17, 1.3545 
27-Sep-17, 1.3583 
28-Sep-17, 1.3498 
29-Sep-17, 1.3564 
2-Oct-17, 1.3652 
3-Oct-17, 1.3709 
4-Oct-17, 1.3776 
5-Oct-17, 1.3729 
6-Oct-17, 1.3753 
9-Oct-17, 1.3816 
10-Oct-17, 1.3864 
11-Oct-17, 1.3840 
12-Oct-17, 1.3891 
13-Oct-17, 1.3966 
17-Oct-17, 1.4027 
18-Oct-17, 1.3933 
19-Oct-17, 1.4038 
20-Oct-17, 1.3931 
23-Oct-17, 1.3806 
24-Oct-17, 1.3717 
25-Oct-17, 1.3726 
26-Oct-17, 1.3653 
27-Oct-17, 1.3720 
30-Oct-17, 1.3815 
2-Nov-17, 1.4066 
3-Nov-17, 1.3900 
6-Nov-17, 1.4068 
7-Nov-17, 1.4064 
8-Nov-17, 1.4063 
9-Nov-17, 1.4079 
10-Nov-17, 1.3966 
13-Nov-17, 1.3826 
14-Nov-17, 1.3901 
15-Nov-17, 1.3757 
16-Nov-17, 1.3649 
17-Nov-17, 1.3794 
20-Nov-17, 1.3807 
21-Nov-17, 1.3757 
22-Nov-17, 1.3724 
23-Nov-17, 1.3814 
24-Nov-17, 1.3853 
27-Nov-17, 1.3811 
28-Nov-17, 1.3689 
29-Nov-17, 1.3670 
1-Dec-17, 1.3499 
4-Dec-17, 1.3418 
5-Dec-17, 1.3496 
6-Dec-17, 1.3482 
